measurement_id,compound_id,compound_label,descriptor,smiles,smiles_source,smiles_note,source_short,source_journal,source_year,source_doi,source_title,target_raw,target_std,assay_category,assay_subtype,value_raw,unit_raw,value_std,unit_std,censor,table_ref,note,conflict_flag
12,Yang2009_BMCL__19,19,OMe,,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,MOP,MOR,binding_affinity,Ki (radioligand binding),133,nM,133.0,nM,,Table 1,,
13,Yang2009_BMCL__20,20,NH2,,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,NOP,NOP,binding_affinity,Ki (radioligand binding),31,nM,31.0,nM,,Table 1,,
14,Yang2009_BMCL__20,20,NH2,,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,MOP,MOR,binding_affinity,Ki (radioligand binding),205,nM,205.0,nM,,Table 1,,
15,Yang2009_BMCL__21,21,OH,,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,NOP,NOP,binding_affinity,Ki (radioligand binding),72,nM,72.0,nM,,Table 1,,
16,Yang2009_BMCL__21,21,OH,,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,MOP,MOR,binding_affinity,Ki (radioligand binding),nd,nM,,nM,not_determined,Table 1,Reported as 'nd' in the source paper.,
17,Yang2009_BMCL__22,22,CN,,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,NOP,NOP,binding_affinity,Ki (radioligand binding),75,nM,75.0,nM,,Table 1,,
18,Yang2009_BMCL__22,22,CN,,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,MOP,MOR,binding_affinity,Ki (radioligand binding),481,nM,481.0,nM,,Table 1,,
19,Yang2009_BMCL__23,23,CF3,,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,NOP,NOP,binding_affinity,Ki (radioligand binding),122,nM,122.0,nM,,Table 1,,
20,Yang2009_BMCL__23,23,CF3,,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,MOP,MOR,binding_affinity,Ki (radioligand binding),nd,nM,,nM,not_determined,Table 1,Reported as 'nd' in the source paper.,
21,Yang2009_BMCL__24,24,CONH2,,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,NOP,NOP,binding_affinity,Ki (radioligand binding),401,nM,401.0,nM,,Table 1,,
22,Yang2009_BMCL__24,24,CONH2,,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,MOP,MOR,binding_affinity,Ki (radioligand binding),1315,nM,1315.0,nM,,Table 1,,
23,Yang2009_BMCL__25,25,CO2Me,,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,NOP,NOP,binding_affinity,Ki (radioligand binding),>1000,nM,1000.0,nM,above,Table 1,Source paper reports only a lower bound ('>1000'); true value is greater than 1000.0 nM.,
24,Yang2009_BMCL__25,25,CO2Me,,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,MOP,MOR,binding_affinity,Ki (radioligand binding),nd,nM,,nM,not_determined,Table 1,Reported as 'nd' in the source paper.,
25,Yang2009_BMCL__26,26,6-F,,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,NOP,NOP,binding_affinity,Ki (radioligand binding),10,nM,10.0,nM,,Table 2,,
26,Yang2009_BMCL__26,26,6-F,,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,MOP,MOR,binding_affinity,Ki (radioligand binding),348,nM,348.0,nM,,Table 2,,
27,Yang2009_BMCL__27,27,"4-F,6-F",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,NOP,NOP,binding_affinity,Ki (radioligand binding),15,nM,15.0,nM,,Table 2,,
28,Yang2009_BMCL__27,27,"4-F,6-F",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,MOP,MOR,binding_affinity,Ki (radioligand binding),468,nM,468.0,nM,,Table 2,,
29,Yang2009_BMCL__28,28,"3-F,6-F",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,NOP,NOP,binding_affinity,Ki (radioligand binding),16,nM,16.0,nM,,Table 2,,
30,Yang2009_BMCL__28,28,"3-F,6-F",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,MOP,MOR,binding_affinity,Ki (radioligand binding),nd,nM,,nM,not_determined,Table 2,Reported as 'nd' in the source paper.,
31,Yang2009_BMCL__29,29,"3-F,5-F",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,NOP,NOP,binding_affinity,Ki (radioligand binding),47,nM,47.0,nM,,Table 2,,
32,Yang2009_BMCL__29,29,"3-F,5-F",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,MOP,MOR,binding_affinity,Ki (radioligand binding),nd,nM,,nM,not_determined,Table 2,Reported as 'nd' in the source paper.,
33,Yang2009_BMCL__30,30,"4-F,5-F",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,NOP,NOP,binding_affinity,Ki (radioligand binding),9,nM,9.0,nM,,Table 2,,
34,Yang2009_BMCL__30,30,"4-F,5-F",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,MOP,MOR,binding_affinity,Ki (radioligand binding),74,nM,74.0,nM,,Table 2,,
35,Yang2009_BMCL__31,31,"4-CH2F,5-F",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,NOP,NOP,binding_affinity,Ki (radioligand binding),19,nM,19.0,nM,,Table 2,,
36,Yang2009_BMCL__31,31,"4-CH2F,5-F",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,MOP,MOR,binding_affinity,Ki (radioligand binding),367,nM,367.0,nM,,Table 2,,
37,Yang2009_BMCL__32,32,"4-CO2H,5-F",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,NOP,NOP,binding_affinity,Ki (radioligand binding),>1000,nM,1000.0,nM,above,Table 2,Source paper reports only a lower bound ('>1000'); true value is greater than 1000.0 nM.,
38,Yang2009_BMCL__32,32,"4-CO2H,5-F",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,MOP,MOR,binding_affinity,Ki (radioligand binding),nd,nM,,nM,not_determined,Table 2,Reported as 'nd' in the source paper.,
39,Yang2009_BMCL__33,33,"H,H",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,NOP,NOP,binding_affinity,Ki (radioligand binding),10,nM,10.0,nM,,Table 3,,
40,Yang2009_BMCL__33,33,"H,H",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,MOP,MOR,binding_affinity,Ki (radioligand binding),343,nM,343.0,nM,,Table 3,,
41,Yang2009_BMCL__34,34,"H,F",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,NOP,NOP,binding_affinity,Ki (radioligand binding),7,nM,7.0,nM,,Table 3,,
42,Yang2009_BMCL__34,34,"H,F",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,MOP,MOR,binding_affinity,Ki (radioligand binding),209,nM,209.0,nM,,Table 3,,
43,Yang2009_BMCL__35,35,"Ac,H",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,NOP,NOP,binding_affinity,Ki (radioligand binding),6,nM,6.0,nM,,Table 3,,
44,Yang2009_BMCL__35,35,"Ac,H",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,MOP,MOR,binding_affinity,Ki (radioligand binding),312,nM,312.0,nM,,Table 3,,
45,Yang2009_BMCL__36,36,"Ac,F",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,NOP,NOP,binding_affinity,Ki (radioligand binding),10,nM,10.0,nM,,Table 3,,
46,Yang2009_BMCL__36,36,"Ac,F",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,MOP,MOR,binding_affinity,Ki (radioligand binding),601,nM,601.0,nM,,Table 3,,
47,Yang2009_BMCL__37,37,"CO2Me,H",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,NOP,NOP,binding_affinity,Ki (radioligand binding),10,nM,10.0,nM,,Table 3,,
48,Yang2009_BMCL__37,37,"CO2Me,H",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,MOP,MOR,binding_affinity,Ki (radioligand binding),741,nM,741.0,nM,,Table 3,,
49,Yang2009_BMCL__38,38,"CO2Me,F",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,NOP,NOP,binding_affinity,Ki (radioligand binding),12,nM,12.0,nM,,Table 3,,
50,Yang2009_BMCL__38,38,"CO2Me,F",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,MOP,MOR,binding_affinity,Ki (radioligand binding),887,nM,887.0,nM,,Table 3,,
51,Yang2009_BMCL__39,39,"CO2Me,Cl",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,NOP,NOP,binding_affinity,Ki (radioligand binding),12,nM,12.0,nM,,Table 3,,
52,Yang2009_BMCL__39,39,"CO2Me,Cl",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,MOP,MOR,binding_affinity,Ki (radioligand binding),961,nM,961.0,nM,,Table 3,,
53,Yang2009_BMCL__40,40,"Me,Me,H",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,NOP,NOP,binding_affinity,Ki (radioligand binding),42,nM,42.0,nM,,Table 3,,
54,Yang2009_BMCL__40,40,"Me,Me,H",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,MOP,MOR,binding_affinity,Ki (radioligand binding),840,nM,840.0,nM,,Table 3,,
55,Yang2009_BMCL__41,41,"CONH2,F",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,NOP,NOP,binding_affinity,Ki (radioligand binding),3,nM,3.0,nM,,Table 4,,
56,Yang2009_BMCL__41,41,"CONH2,F",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,MOP,MOR,binding_affinity,Ki (radioligand binding),85,nM,85.0,nM,,Table 4,,
57,Yang2009_BMCL__42,42,"CONH2,Cl",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,NOP,NOP,binding_affinity,Ki (radioligand binding),10,nM,10.0,nM,,Table 4,,
58,Yang2009_BMCL__42,42,"CONH2,Cl",,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,MOP,MOR,binding_affinity,Ki (radioligand binding),284,nM,284.0,nM,,Table 4,,
